=======================================================
  FINAL RESULTS SUMMARY
=======================================================
  Metric                           DenseCNN SparseResNet
-------------------------------------------------------
  Test Accuracy                      0.8127       0.8747
  Test AUC                           0.8731       0.9333
  Accuracy improvement                    —       +6.20pp
  AUC improvement                         —     +6.0214pp
=======================================================

  Pruning robustness (SparseResNet on test set):
     Ratio   Accuracy   Sparsity   EffFLOPs(M)
-------------------------------------------------------
       0.0     0.8747      0.000        169.32
       0.2     0.8673      0.200        135.45
       0.4     0.8647      0.400        101.59
       0.6     0.8693      0.600         67.73
       0.8     0.8613      0.800         33.86
=======================================================
