Training DenseCNN (baseline)...
  Epoch  1/10  train_loss=0.6655  val_loss=0.6815
  Epoch  2/10  train_loss=0.5703  val_loss=0.5449
  Epoch  3/10  train_loss=0.5237  val_loss=0.5077
  Epoch  4/10  train_loss=0.5049  val_loss=0.5538
  Epoch  5/10  train_loss=0.4925  val_loss=0.6053
  Epoch  6/10  train_loss=0.4836  val_loss=0.4671
  Epoch  7/10  train_loss=0.4764  val_loss=0.4761
  Epoch  8/10  train_loss=0.4698  val_loss=0.5357
  Epoch  9/10  train_loss=0.4649  val_loss=0.5081
  Epoch 10/10  train_loss=0.4609  val_loss=0.4514

Training SparseResNet...
  Epoch  1/10  train_loss=0.4966  val_loss=0.3812
  Epoch  2/10  train_loss=0.3836  val_loss=2.0470
  Epoch  3/10  train_loss=0.3448  val_loss=0.3363
  Epoch  4/10  train_loss=0.3208  val_loss=0.4824
  Epoch  5/10  train_loss=0.2967  val_loss=0.4802
  Epoch  6/10  train_loss=0.2806  val_loss=0.3308
  Epoch  7/10  train_loss=0.2676  val_loss=0.7204
  Epoch  8/10  train_loss=0.2537  val_loss=0.4934
  Epoch  9/10  train_loss=0.2351  val_loss=0.5931
  Epoch 10/10  train_loss=0.1903  val_loss=0.3010
